customer_id,name,class,gender,start_date,end_date,campaign_id,is_deleted
as058623,宇野沙弥,C01,F,2015-05-01 00:00:00,,CA1,0
as069821,小暮恵理,C03,F,2015-05-01 00:00:00,,CA1,0
as183155,益子涼花,C03,F,2015-05-01 00:00:00,,CA1,0
as476267,西口悠奈,C02,F,2015-05-01 00:00:00,,CA1,0
as625883,石本真紗子,C02,F,2015-05-01 00:00:00,,CA1,0
as647421,横溝奈々,C01,F,2015-05-01 00:00:00,,CA1,0
as732240,大坪柚季,C02,F,2015-05-01 00:00:00,,CA1,0
as734592,高坂亜衣,C02,F,2015-05-01 00:00:00,,CA1,0
as777651,安原国男,C01,M,2015-05-01 00:00:00,,CA1,0
as857207,千葉今日子,C02,F,2015-05-01 00:00:00,,CA1,0
as926104,米田莉桜,C03,F,2015-05-01 00:00:00,,CA1,0
as970810,井本心杜子,C03,F,2015-05-01 00:00:00,,CA1,0
gd022268,玉城正光,C02,M,2015-05-01 00:00:00,,CA1,0
gd039425,黒澤響子,C01,F,2015-05-01 00:00:00,,CA1,0
gd126553,宮沢雄二,C01,M,2015-05-01 00:00:00,,CA1,0
gd163149,竹村照男,C03,M,2015-05-01 00:00:00,,CA1,0
gd214739,住田清一,C01,M,2015-05-01 00:00:00,,CA1,0
gd360440,塚田隆吾,C03,M,2015-05-01 00:00:00,,CA1,0
gd967749,内山和佳,C01,F,2015-05-01 00:00:00,,CA1,0
hd024127,辻房子,C01,F,2015-05-01 00:00:00,,CA1,0
hd124700,田辺進,C01,M,2015-05-01 00:00:00,,CA1,0
hd194702,立花美涼,C02,F,2015-05-01 00:00:00,,CA1,0
hd349501,水田涼香,C01,F,2015-05-01 00:00:00,,CA1,0
hd516059,西原文男,C03,M,2015-05-01 00:00:00,,CA1,0
hd661448,三枝璃子,C03,F,2015-05-01 00:00:00,,CA1,0
hd782984,五十嵐睦,C02,F,2015-05-01 00:00:00,,CA1,0
hd792156,小俣愛結,C01,F,2015-05-01 00:00:00,,CA1,0
hi324666,角田国彦,C01,M,2015-05-01 00:00:00,,CA1,0
hi339146,岡本倫子,C01,F,2015-05-01 00:00:00,,CA1,0
hi388582,田淵千尋,C02,F,2015-05-01 00:00:00,,CA1,0
hi570349,井上舞花,C01,F,2015-05-01 00:00:00,,CA1,0
hi598974,上山大樹,C03,M,2015-05-01 00:00:00,,CA1,0
hi635742,石井佑奈,C02,F,2015-05-01 00:00:00,,CA1,0
hi804186,田辺友菜,C02,F,2015-05-01 00:00:00,,CA1,0
ik059803,岩田陽華,C02,F,2015-05-01 00:00:00,,CA1,0
ik098074,明石華乃,C01,F,2015-05-01 00:00:00,,CA1,0
ik102369,野沢亨,C01,M,2015-05-01 00:00:00,,CA1,0
ik271057,高畑一弘,C01,M,2015-05-01 00:00:00,,CA1,0
ik701555,大滝希美,C02,F,2015-05-01 00:00:00,,CA1,0
oa071756,長友武,C01,M,2015-05-01 00:00:00,,CA1,0
oa372777,笹川治夫,C03,M,2015-05-01 00:00:00,,CA1,0
oa478509,石村一樹,C02,M,2015-05-01 00:00:00,,CA1,0
oa557824,石田真紀子,C02,F,2015-05-01 00:00:00,,CA1,0
oa758157,金森祐司,C01,M,2015-05-01 00:00:00,,CA1,0
oa789036,深谷静奈,C02,F,2015-05-01 00:00:00,,CA1,0
oa790739,南田康治,C01,M,2015-05-01 00:00:00,,CA1,0
oa803393,田上武,C01,M,2015-05-01 00:00:00,,CA1,0
oa832399,大槻千尋,C01,F,2015-05-01 00:00:00,,CA1,0
oa974876,長沼信,C01,M,2015-05-01 00:00:00,,CA1,0
oa994859,松本杏理,C01,F,2015-05-01 00:00:00,,CA1,0
pl152568,市川結羽,C03,F,2015-05-01 00:00:00,,CA1,0
pl221419,久保章太郎,C02,M,2015-05-01 00:00:00,,CA1,0
pl241896,浅見理央,C03,F,2015-05-01 00:00:00,,CA1,0
pl270116,板倉武雄,C01,M,2015-05-01 00:00:00,,CA1,0
pl765022,村松一輝,C01,M,2015-05-01 00:00:00,,CA1,0
pl834411,松浦花音,C03,F,2015-05-01 00:00:00,,CA1,0
pl920046,山形萌子,C02,F,2015-05-01 00:00:00,,CA1,0
pl928545,久米美幸,C02,F,2015-05-01 00:00:00,,CA1,0
ts210661,石村誓三,C01,M,2015-05-01 00:00:00,,CA1,0
ts487207,竹本守友,C01,M,2015-05-01 00:00:00,,CA1,0
ts837282,石崎蒼依,C01,F,2015-05-01 00:00:00,,CA1,0
ts945284,井出淳一,C03,M,2015-05-01 00:00:00,,CA1,0
as099118,細川貴士,C01,M,2015-06-01 00:00:00,,CA1,0
as099984,井口茉奈,C01,F,2015-06-01 00:00:00,,CA1,0
as299544,石黒哲雄,C01,M,2015-06-01 00:00:00,,CA1,0
as614421,篠田良和,C01,M,2015-06-01 00:00:00,,CA1,0
as677821,吉川彼方,C01,M,2015-06-01 00:00:00,,CA1,0
as834706,滝平一,C01,M,2015-06-01 00:00:00,,CA1,0
gd163914,的場双葉,C01,F,2015-06-01 00:00:00,,CA1,0
gd212992,本多奈々美,C03,F,2015-06-01 00:00:00,,CA1,0
gd292781,大江葉子,C02,F,2015-06-01 00:00:00,,CA1,0
gd437531,落合栄一,C01,M,2015-06-01 00:00:00,,CA1,0
gd489678,笠原則明,C01,M,2015-06-01 00:00:00,,CA1,0
gd555235,畑来未,C03,F,2015-06-01 00:00:00,,CA1,0
gd728611,玉置詩音,C02,F,2015-06-01 00:00:00,,CA1,0
gd813654,高野徳三郎,C03,M,2015-06-01 00:00:00,,CA1,0
hd120698,竹原小和,C01,F,2015-06-01 00:00:00,,CA1,0
hd378274,寺島義夫,C03,M,2015-06-01 00:00:00,,CA1,0
hd455858,仲田新吉,C03,M,2015-06-01 00:00:00,,CA1,0
hi146430,小高時雄,C01,M,2015-06-01 00:00:00,,CA1,0
hi216184,百瀬正夫,C01,M,2015-06-01 00:00:00,,CA1,0
hi228454,古山音々,C02,F,2015-06-01 00:00:00,,CA1,0
hi324110,星野裕信,C01,M,2015-06-01 00:00:00,,CA1,0
hi373547,川井日和,C01,F,2015-06-01 00:00:00,,CA1,0
hi525851,畠中英次,C03,M,2015-06-01 00:00:00,,CA1,0
hi582217,谷内隆,C01,M,2015-06-01 00:00:00,,CA1,0
hi728364,立川幸吉,C01,M,2015-06-01 00:00:00,,CA1,0
hi900494,岩永直吉,C03,M,2015-06-01 00:00:00,,CA1,0
hi965956,矢吹朗,C01,M,2015-06-01 00:00:00,,CA1,0
ik006139,杉野時男,C01,M,2015-06-01 00:00:00,,CA1,0
ik055692,工藤喜一郎,C01,M,2015-06-01 00:00:00,,CA1,0
ik124414,笠井恭三郎,C03,M,2015-06-01 00:00:00,,CA1,0
ik331136,山城奈々,C02,F,2015-06-01 00:00:00,,CA1,0
ik351897,末永広史,C02,M,2015-06-01 00:00:00,,CA1,0
ik624416,秋葉彩音,C03,F,2015-06-01 00:00:00,,CA1,0
ik902787,萩原晶,C01,F,2015-06-01 00:00:00,,CA1,0
ik999272,石野敦司,C01,M,2015-06-01 00:00:00,,CA1,0
oa103624,平完治,C01,M,2015-06-01 00:00:00,,CA1,0
oa225076,岸本俊行,C01,M,2015-06-01 00:00:00,,CA1,0
oa236156,大下麻里子,C01,F,2015-06-01 00:00:00,,CA1,0
oa261861,富沢俊二,C02,M,2015-06-01 00:00:00,,CA1,0
oa504016,金谷明弘,C03,M,2015-06-01 00:00:00,,CA1,0
oa630902,大川正洋,C03,M,2015-06-01 00:00:00,,CA1,0
oa747936,羽田晋,C01,M,2015-06-01 00:00:00,,CA1,0
oa776086,野村昭子,C03,F,2015-06-01 00:00:00,,CA1,0
oa818666,宮坂弥生,C02,F,2015-06-01 00:00:00,,CA1,0
oa931227,榎本緑,C02,F,2015-06-01 00:00:00,,CA1,0
oa933190,岩城慶治,C01,M,2015-06-01 00:00:00,,CA1,0
pl342449,滝春佳,C02,F,2015-06-01 00:00:00,,CA1,0
pl367795,青柳貞子,C01,F,2015-06-01 00:00:00,,CA1,0
pl400479,益子香,C03,F,2015-06-01 00:00:00,,CA1,0
pl410964,上岡俊昭,C01,M,2015-06-01 00:00:00,,CA1,0
pl456313,児玉結奈,C01,F,2015-06-01 00:00:00,,CA1,0
pl487301,古河初人,C01,M,2015-06-01 00:00:00,,CA1,0
pl494564,河合満夫,C03,M,2015-06-01 00:00:00,,CA1,0
pl540895,木内剛,C03,M,2015-06-01 00:00:00,,CA1,0
pl779242,滝沢凛香,C01,F,2015-06-01 00:00:00,,CA1,0
pl815569,安藤真由,C02,F,2015-06-01 00:00:00,,CA1,0
